127.0.0.1 - - [31/Jan/2018:11:08:07 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [31/Jan/2018:11:08:08 +0530] "GET /GraphDemo/pages/login.jsp HTTP/1.1" 200 7146
0:0:0:0:0:0:0:1 - - [31/Jan/2018:11:08:08 +0530] "GET /GraphDemo/theme/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [31/Jan/2018:11:08:08 +0530] "GET /GraphDemo/theme/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [31/Jan/2018:11:08:08 +0530] "GET /GraphDemo/theme/dist/css/AdminLTE.min.css HTTP/1.1" 200 106344
0:0:0:0:0:0:0:1 - - [31/Jan/2018:11:08:08 +0530] "GET /GraphDemo/theme/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 200 51284
0:0:0:0:0:0:0:1 - - [31/Jan/2018:11:08:08 +0530] "GET /GraphDemo/theme/bower_components/datatables.net-bs/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4188
0:0:0:0:0:0:0:1 - - [31/Jan/2018:11:08:08 +0530] "GET /GraphDemo/theme/bower_components/morris.js/morris.css HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [31/Jan/2018:11:08:08 +0530] "GET /GraphDemo/theme/bower_components/jvectormap/jquery-jvectormap.css HTTP/1.1" 200 6635
0:0:0:0:0:0:0:1 - - [31/Jan/2018:11:08:08 +0530] "GET /GraphDemo/theme/dist/css/skins/_all-skins.min.css HTTP/1.1" 200 41583
0:0:0:0:0:0:0:1 - - [31/Jan/2018:11:08:08 +0530] "GET /GraphDemo/theme/bower_components/bootstrap-daterangepicker/daterangepicker.css HTTP/1.1" 200 8163
0:0:0:0:0:0:0:1 - - [31/Jan/2018:11:08:08 +0530] "GET /GraphDemo/theme/bower_components/bootstrap-datepicker/dist/css/bootstrap-datepicker.min.css HTTP/1.1" 200 15731
0:0:0:0:0:0:0:1 - - [31/Jan/2018:11:08:08 +0530] "GET /GraphDemo/theme/plugins/bootstrap-wysihtml5/bootstrap3-wysihtml5.min.css HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [31/Jan/2018:11:08:08 +0530] "GET /GraphDemo/theme/plugins/iCheck/square/blue.css HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [31/Jan/2018:11:08:08 +0530] "GET /GraphDemo/theme/bower_components/bootstrap/dist/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [31/Jan/2018:11:08:08 +0530] "GET /GraphDemo/theme/bower_components/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
